id,classify,kind,money,diamond,type,value,describe,value1,rank
541,11,11075,30000,5,2,6068,试炼任务,,20
542,11,11076,30000,5,2,6069,试炼任务,,20
543,11,11077,30000,5,2,6070,试炼任务,,20
544,11,11078,30000,5,2,6071,试炼任务,,20
545,11,11079,30000,5,2,6072,试炼任务,,20
546,11,11080,30000,5,2,6073,试炼任务,,20
547,11,11081,30000,5,2,6074,试炼任务,,20
548,11,11082,30000,5,2,6075,试炼任务,,20
549,11,11083,30000,5,2,7070,试炼任务,,20
550,11,11084,30000,5,2,7071,试炼任务,,20
551,11,11085,30000,5,2,7072,试炼任务,,20
552,11,11086,30000,5,2,7073,试炼任务,,20
553,11,11087,30000,5,2,7074,试炼任务,,20
554,11,11088,30000,5,2,7075,试炼任务,,20
555,11,11089,30000,5,2,7076,试炼任务,,20
556,11,11090,30000,5,2,7077,试炼任务,,20
557,11,11091,30000,5,2,7078,试炼任务,,20
558,11,11092,30000,5,2,7079,试炼任务,,20
559,11,11093,30000,5,2,7080,试炼任务,,20
560,11,11094,30000,5,2,8075,试炼任务,,20
561,11,11095,30000,5,2,8076,试炼任务,,20
562,11,11096,30000,5,2,8077,试炼任务,,20
563,11,11097,30000,5,2,8078,试炼任务,,20
564,11,11098,30000,5,2,8079,试炼任务,,20
565,11,11099,30000,5,2,8080,试炼任务,,20
566,11,11100,30000,5,2,8081,试炼任务,,20
567,11,11101,30000,5,2,8082,试炼任务,,20
568,11,11102,30000,5,2,8083,试炼任务,,20
569,11,11103,30000,5,2,8084,试炼任务,,20
570,11,11104,30000,5,2,8085,试炼任务,,20
571,11,11105,30000,5,2,9080,试炼任务,,20
572,11,11106,30000,5,2,9081,试炼任务,,20
573,11,11107,30000,5,2,9082,试炼任务,,20
574,11,11108,30000,5,2,9083,试炼任务,,20
575,11,11109,30000,5,2,9084,试炼任务,,20
576,11,11110,30000,5,2,9085,试炼任务,,20
577,11,11111,30000,5,2,9086,试炼任务,,20
578,11,11112,30000,5,2,9087,试炼任务,,20
579,11,11113,30000,5,2,9088,试炼任务,,20
580,11,11114,30000,5,2,9089,试炼任务,,20
581,11,11115,30000,5,2,9090,试炼任务,,20
582,11,11116,30000,5,2,10085,试炼任务,,20
583,11,11117,30000,5,2,10086,试炼任务,,20
584,11,11118,30000,5,2,10087,试炼任务,,20
585,11,11119,30000,5,2,10088,试炼任务,,20
586,11,11120,30000,5,2,10089,试炼任务,,20
587,11,11121,30000,5,2,10090,试炼任务,,20
588,11,11122,30000,5,2,10091,试炼任务,,20
589,11,11123,30000,5,2,10092,试炼任务,,20
590,11,11124,30000,5,2,10093,试炼任务,,20
591,11,11125,30000,5,2,10094,试炼任务,,20
592,11,11126,30000,5,2,10095,试炼任务,,20
593,11,11127,30000,5,2,11090,试炼任务,,20
594,11,11128,30000,5,2,11091,试炼任务,,20
595,11,11129,30000,5,2,11092,试炼任务,,20
596,11,11130,30000,5,2,11093,试炼任务,,20
597,11,11131,30000,5,2,11094,试炼任务,,20
598,11,11132,30000,5,2,11095,试炼任务,,20
599,11,11133,30000,5,2,11096,试炼任务,,20
600,11,11134,30000,5,2,11097,试炼任务,,20
601,11,11135,30000,5,2,11098,试炼任务,,20
602,11,11136,30000,5,2,11099,试炼任务,,20
603,11,11137,30000,5,2,11100,试炼任务,,20
604,11,11138,30000,5,2,12095,试炼任务,,20
605,11,11139,30000,5,2,12096,试炼任务,,20
606,11,11140,30000,5,2,12097,试炼任务,,20
607,11,11141,30000,5,2,12098,试炼任务,,20
608,11,11142,30000,5,2,12099,试炼任务,,20
609,11,11143,30000,5,2,12100,试炼任务,,20
610,11,11144,30000,5,2,12101,试炼任务,,20
611,11,11145,30000,5,2,12102,试炼任务,,20
612,11,11146,30000,5,2,12103,试炼任务,,20
613,11,11147,30000,5,2,12104,试炼任务,,20
614,11,11148,30000,5,2,12105,试炼任务,,20
615,11,11149,30000,5,2,13100,试炼任务,,20
616,11,11150,30000,5,2,13101,试炼任务,,20
617,11,11151,30000,5,2,13102,试炼任务,,20
618,11,11152,30000,5,2,13103,试炼任务,,20
619,11,11153,30000,5,2,13104,试炼任务,,20
620,11,11154,30000,5,2,13105,试炼任务,,20
621,11,11155,30000,5,2,13106,试炼任务,,20
622,11,11156,30000,5,2,13107,试炼任务,,20
623,11,11157,30000,5,2,13108,试炼任务,,20
624,11,11158,30000,5,2,13109,试炼任务,,20
625,11,11159,30000,5,2,13110,试炼任务,,20
626,11,11160,30000,5,2,14105,试炼任务,,20
627,11,11161,30000,5,2,14106,试炼任务,,20
628,11,11162,30000,5,2,14107,试炼任务,,20
629,11,11163,30000,5,2,14108,试炼任务,,20
630,11,11164,30000,5,2,14109,试炼任务,,20
631,11,11165,30000,5,2,14110,试炼任务,,20
632,11,11166,30000,5,2,14111,试炼任务,,20
633,11,11167,30000,5,2,14112,试炼任务,,20
634,11,11168,30000,5,2,14113,试炼任务,,20
635,11,11169,30000,5,2,14114,试炼任务,,20
636,11,11170,30000,5,2,14115,试炼任务,,20
637,11,11171,30000,5,2,15110,试炼任务,,20
638,11,11172,30000,5,2,15111,试炼任务,,20
639,11,11173,30000,5,2,15112,试炼任务,,20
640,11,11174,30000,5,2,15113,试炼任务,,20
641,11,11175,30000,5,2,15114,试炼任务,,20
642,11,11176,30000,5,2,15115,试炼任务,,20
643,11,11177,30000,5,2,15116,试炼任务,,20
644,11,11178,30000,5,2,15117,试炼任务,,20
645,11,11179,30000,5,2,15118,试炼任务,,20
646,11,11180,30000,5,2,15119,试炼任务,,20
647,11,11181,30000,5,2,15120,试炼任务,,20
648,10,10001,30000,5,2,30,环式任务,,21
649,10,10002,30000,5,2,31,环式任务,,21
650,10,10003,30000,5,2,32,环式任务,,21
651,10,10004,30000,5,2,33,环式任务,,21
652,10,10005,30000,5,2,34,环式任务,,21
653,10,10006,30000,5,2,35,环式任务,,21
654,10,10007,30000,5,2,36,环式任务,,21
655,10,10008,30000,5,2,37,环式任务,,21
656,10,10009,30000,5,2,38,环式任务,,21
657,10,10010,30000,5,2,39,环式任务,,21
658,10,10011,30000,5,2,40,环式任务,,21
659,10,10012,30000,5,2,41,环式任务,,21
660,10,10013,30000,5,2,42,环式任务,,21
661,10,10014,30000,5,2,43,环式任务,,21
662,10,10015,30000,5,2,44,环式任务,,21
663,10,10016,30000,5,2,45,环式任务,,21
664,10,10017,30000,5,2,1040,环式任务,,21
665,10,10018,30000,5,2,1041,环式任务,,21
666,10,10019,30000,5,2,1042,环式任务,,21
667,10,10020,30000,5,2,1043,环式任务,,21
668,10,10021,30000,5,2,1044,环式任务,,21
669,10,10022,30000,5,2,1045,环式任务,,21
670,10,10023,30000,5,2,1046,环式任务,,21
671,10,10024,30000,5,2,1047,环式任务,,21
672,10,10025,30000,5,2,1048,环式任务,,21
673,10,10026,30000,5,2,1049,环式任务,,21
674,10,10027,30000,5,2,1050,环式任务,,21
675,10,10028,30000,5,2,2045,环式任务,,21
676,10,10029,30000,5,2,2046,环式任务,,21
677,10,10030,30000,5,2,2047,环式任务,,21
678,10,10031,30000,5,2,2048,环式任务,,21
679,10,10032,30000,5,2,2049,环式任务,,21
680,10,10033,30000,5,2,2050,环式任务,,21
681,10,10034,30000,5,2,2051,环式任务,,21
682,10,10035,30000,5,2,2052,环式任务,,21
683,10,10036,30000,5,2,2053,环式任务,,21
684,10,10037,30000,5,2,2054,环式任务,,21
685,10,10038,30000,5,2,2055,环式任务,,21
686,10,10039,30000,5,2,3050,环式任务,,21
687,10,10040,30000,5,2,3051,环式任务,,21
688,10,10041,30000,5,2,3052,环式任务,,21
689,10,10042,30000,5,2,3053,环式任务,,21
690,10,10043,30000,5,2,3054,环式任务,,21
691,10,10044,30000,5,2,3055,环式任务,,21
692,10,10045,30000,5,2,3056,环式任务,,21
693,10,10046,30000,5,2,3057,环式任务,,21
694,10,10047,30000,5,2,3058,环式任务,,21
695,10,10048,30000,5,2,3059,环式任务,,21
696,10,10049,30000,5,2,3060,环式任务,,21
697,10,10050,30000,5,2,4055,环式任务,,21
698,10,10051,30000,5,2,4056,环式任务,,21
699,10,10052,30000,5,2,4057,环式任务,,21
700,10,10053,30000,5,2,4058,环式任务,,21
701,10,10054,30000,5,2,4059,环式任务,,21
702,10,10055,30000,5,2,4060,环式任务,,21
703,10,10056,30000,5,2,4061,环式任务,,21
704,10,10057,30000,5,2,4062,环式任务,,21
705,10,10058,30000,5,2,4063,环式任务,,21
706,10,10059,30000,5,2,4064,环式任务,,21
707,10,10060,30000,5,2,4065,环式任务,,21
708,10,10061,30000,5,2,5060,环式任务,,21
709,10,10062,30000,5,2,5061,环式任务,,21
710,10,10063,30000,5,2,5062,环式任务,,21
711,10,10064,30000,5,2,5063,环式任务,,21
712,10,10065,30000,5,2,5064,环式任务,,21
713,10,10066,30000,5,2,5065,环式任务,,21
714,10,10067,30000,5,2,5066,环式任务,,21
715,10,10068,30000,5,2,5067,环式任务,,21
716,10,10069,30000,5,2,5068,环式任务,,21
717,10,10070,30000,5,2,5069,环式任务,,21
718,10,10071,30000,5,2,5070,环式任务,,21
719,10,10072,30000,5,2,6065,环式任务,,21
720,10,10073,30000,5,2,6066,环式任务,,21
721,10,10074,30000,5,2,6067,环式任务,,21
722,10,10075,30000,5,2,6068,环式任务,,21
723,10,10076,30000,5,2,6069,环式任务,,21
724,10,10077,30000,5,2,6070,环式任务,,21
725,10,10078,30000,5,2,6071,环式任务,,21
726,10,10079,30000,5,2,6072,环式任务,,21
727,10,10080,30000,5,2,6073,环式任务,,21
728,10,10081,30000,5,2,6074,环式任务,,21
729,10,10082,30000,5,2,6075,环式任务,,21
730,10,10083,30000,5,2,7070,环式任务,,21
731,10,10084,30000,5,2,7071,环式任务,,21
732,10,10085,30000,5,2,7072,环式任务,,21
733,10,10086,30000,5,2,7073,环式任务,,21
734,10,10087,30000,5,2,7074,环式任务,,21
735,10,10088,30000,5,2,7075,环式任务,,21
736,10,10089,30000,5,2,7076,环式任务,,21
737,10,10090,30000,5,2,7077,环式任务,,21
738,10,10091,30000,5,2,7078,环式任务,,21
739,10,10092,30000,5,2,7079,环式任务,,21
740,10,10093,30000,5,2,7080,环式任务,,21
741,10,10094,30000,5,2,8075,环式任务,,21
742,10,10095,30000,5,2,8076,环式任务,,21
743,10,10096,30000,5,2,8077,环式任务,,21
744,10,10097,30000,5,2,8078,环式任务,,21
745,10,10098,30000,5,2,8079,环式任务,,21
746,10,10099,30000,5,2,8080,环式任务,,21
747,10,10100,30000,5,2,8081,环式任务,,21
748,10,10101,30000,5,2,8082,环式任务,,21
749,10,10102,30000,5,2,8083,环式任务,,21
750,10,10103,30000,5,2,8084,环式任务,,21
751,10,10104,30000,5,2,8085,环式任务,,21
752,10,10105,30000,5,2,9080,环式任务,,21
753,10,10106,30000,5,2,9081,环式任务,,21
754,10,10107,30000,5,2,9082,环式任务,,21
755,10,10108,30000,5,2,9083,环式任务,,21
756,10,10109,30000,5,2,9084,环式任务,,21
757,10,10110,30000,5,2,9085,环式任务,,21
758,10,10111,30000,5,2,9086,环式任务,,21
759,10,10112,30000,5,2,9087,环式任务,,21
760,10,10113,30000,5,2,9088,环式任务,,21
761,10,10114,30000,5,2,9089,环式任务,,21
762,10,10115,30000,5,2,9090,环式任务,,21
763,10,10116,30000,5,2,10085,环式任务,,21
764,10,10117,30000,5,2,10086,环式任务,,21
765,10,10118,30000,5,2,10087,环式任务,,21
766,10,10119,30000,5,2,10088,环式任务,,21
767,10,10120,30000,5,2,10089,环式任务,,21
768,10,10121,30000,5,2,10090,环式任务,,21
769,10,10122,30000,5,2,10091,环式任务,,21
770,10,10123,30000,5,2,10092,环式任务,,21
771,10,10124,30000,5,2,10093,环式任务,,21
772,10,10125,30000,5,2,10094,环式任务,,21
773,10,10126,30000,5,2,10095,环式任务,,21
774,10,10127,30000,5,2,11090,环式任务,,21
775,10,10128,30000,5,2,11091,环式任务,,21
776,10,10129,30000,5,2,11092,环式任务,,21
777,10,10130,30000,5,2,11093,环式任务,,21
778,10,10131,30000,5,2,11094,环式任务,,21
779,10,10132,30000,5,2,11095,环式任务,,21
780,10,10133,30000,5,2,11096,环式任务,,21
781,10,10134,30000,5,2,11097,环式任务,,21
782,10,10135,30000,5,2,11098,环式任务,,21
783,10,10136,30000,5,2,11099,环式任务,,21
784,10,10137,30000,5,2,11100,环式任务,,21
785,10,10138,30000,5,2,12095,环式任务,,21
786,10,10139,30000,5,2,12096,环式任务,,21
787,10,10140,30000,5,2,12097,环式任务,,21
788,10,10141,30000,5,2,12098,环式任务,,21
789,10,10142,30000,5,2,12099,环式任务,,21
790,10,10143,30000,5,2,12100,环式任务,,21
791,10,10144,30000,5,2,12101,环式任务,,21
792,10,10145,30000,5,2,12102,环式任务,,21
793,10,10146,30000,5,2,12103,环式任务,,21
794,10,10147,30000,5,2,12104,环式任务,,21
795,10,10148,30000,5,2,12105,环式任务,,21
796,10,10149,30000,5,2,13100,环式任务,,21
797,10,10150,30000,5,2,13101,环式任务,,21
798,10,10151,30000,5,2,13102,环式任务,,21
799,10,10152,30000,5,2,13103,环式任务,,21
800,10,10153,30000,5,2,13104,环式任务,,21
801,10,10154,30000,5,2,13105,环式任务,,21
802,10,10155,30000,5,2,13106,环式任务,,21
803,10,10156,30000,5,2,13107,环式任务,,21
804,10,10157,30000,5,2,13108,环式任务,,21
805,10,10158,30000,5,2,13109,环式任务,,21
806,10,10159,30000,5,2,13110,环式任务,,21
807,10,10160,30000,5,2,14105,环式任务,,21
808,10,10161,30000,5,2,14106,环式任务,,21
809,10,10162,30000,5,2,14107,环式任务,,21
810,10,10163,30000,5,2,14108,环式任务,,21
811,10,10164,30000,5,2,14109,环式任务,,21
812,10,10165,30000,5,2,14110,环式任务,,21
813,10,10166,30000,5,2,14111,环式任务,,21
814,10,10167,30000,5,2,14112,环式任务,,21
815,10,10168,30000,5,2,14113,环式任务,,21
816,10,10169,30000,5,2,14114,环式任务,,21
817,10,10170,30000,5,2,14115,环式任务,,21
818,10,10171,30000,5,2,15110,环式任务,,21
819,10,10172,30000,5,2,15111,环式任务,,21
820,10,10173,30000,5,2,15112,环式任务,,21
821,10,10174,30000,5,2,15113,环式任务,,21
822,10,10175,30000,5,2,15114,环式任务,,21
823,10,10176,30000,5,2,15115,环式任务,,21
824,10,10177,30000,5,2,15116,环式任务,,21
825,10,10178,30000,5,2,15117,环式任务,,21
826,10,10179,30000,5,2,15118,环式任务,,21
827,10,10180,30000,5,2,15119,环式任务,,21
828,10,10181,30000,5,2,15120,环式任务,,21
