id,strengthlv,part,atk,def,hp,fire,ice,poison,dark,wind,resistance,atk_percent
521,17,16,0,0,0,1700,0,1700,0,0,0,0
522,18,16,0,0,0,1800,0,1800,0,0,0,0
523,19,16,0,0,0,1900,0,1900,0,0,0,0
524,20,16,0,0,0,2000,0,2000,0,0,0,0
525,21,16,0,0,0,2100,0,2100,0,0,0,0
526,22,16,0,0,0,2200,0,2200,0,0,0,0
527,23,16,0,0,0,2300,0,2300,0,0,0,0
528,24,16,0,0,0,2400,0,2400,0,0,0,0
529,25,16,0,0,0,2500,0,2500,0,0,0,0
530,26,16,0,0,0,2600,0,2600,0,0,0,0
531,27,16,0,0,0,2700,0,2700,0,0,0,0
532,28,16,0,0,0,2800,0,2800,0,0,0,0
533,29,16,0,0,0,2900,0,2900,0,0,0,0
534,30,16,0,0,0,3000,0,3000,0,0,0,0
535,31,16,0,0,0,3100,0,3100,0,0,0,0
536,32,16,0,0,0,3200,0,3200,0,0,0,0
537,33,16,0,0,0,3300,0,3300,0,0,0,0
538,34,16,0,0,0,3400,0,3400,0,0,0,0
539,35,16,0,0,0,3500,0,3500,0,0,0,0
540,36,16,0,0,0,3600,0,3600,0,0,0,0
541,37,16,0,0,0,3700,0,3700,0,0,0,0
542,38,16,0,0,0,3800,0,3800,0,0,0,0
543,39,16,0,0,0,3900,0,3900,0,0,0,0
544,40,16,0,0,0,4000,0,4000,0,0,0,0
