id,level,health,magic,minattack,maxattack,mindefence,maxdefence,crit,toughness,hit,dodge,profession,speed
453,7079,46452,77420,465,1084,139,325,310,310,271,310,3,61
454,7080,47520,79200,475,1109,143,333,317,317,277,317,3,61
455,8075,47520,79200,475,1109,143,333,317,317,277,317,3,61
456,8076,47520,79200,475,1109,143,333,317,317,277,317,3,61
457,8077,47520,79200,475,1109,143,333,317,317,277,317,3,61
458,8078,47520,79200,475,1109,143,333,317,317,277,317,3,61
459,8079,47520,79200,475,1109,143,333,317,317,277,317,3,61
460,8080,47520,79200,475,1109,143,333,317,317,277,317,3,61
461,8081,48600,81000,486,1134,146,340,324,324,284,324,3,61
462,8082,49692,82820,497,1159,149,348,331,331,290,331,3,61
463,8083,50796,84660,508,1185,152,356,339,339,296,339,3,61
464,8084,51912,86520,519,1211,156,363,346,346,303,346,3,61
465,8085,53040,88400,530,1238,159,371,354,354,309,354,3,61
466,9080,53040,88400,530,1238,159,371,354,354,309,354,3,61
467,9081,53040,88400,530,1238,159,371,354,354,309,354,3,61
468,9082,53040,88400,530,1238,159,371,354,354,309,354,3,61
469,9083,53040,88400,530,1238,159,371,354,354,309,354,3,61
470,9084,53040,88400,530,1238,159,371,354,354,309,354,3,61
471,9085,53040,88400,530,1238,159,371,354,354,309,354,3,61
472,9086,54180,90300,542,1264,163,379,361,361,316,361,3,61
473,9087,55332,92220,553,1291,166,387,369,369,323,369,3,61
474,9088,56496,94160,565,1318,169,395,377,377,330,377,3,61
475,9089,57672,96120,577,1346,173,404,384,384,336,384,3,61
476,9090,58860,98100,589,1373,177,412,392,392,343,392,3,61
477,10085,58860,98100,589,1373,177,412,392,392,343,392,3,61
478,10086,58860,98100,589,1373,177,412,392,392,343,392,3,61
479,10087,58860,98100,589,1373,177,412,392,392,343,392,3,61
480,10088,58860,98100,589,1373,177,412,392,392,343,392,3,61
481,10089,58860,98100,589,1373,177,412,392,392,343,392,3,61
482,10090,58860,98100,589,1373,177,412,392,392,343,392,3,61
483,10091,60060,100100,601,1401,180,420,400,400,350,400,3,61
484,10092,61272,102120,613,1430,184,429,408,408,357,408,3,61
485,10093,62496,104160,625,1458,187,437,417,417,365,417,3,61
486,10094,63732,106220,637,1487,191,446,425,425,372,425,3,61
487,10095,64980,108300,650,1516,195,455,433,433,379,433,3,61
488,11090,64980,108300,650,1516,195,455,433,433,379,433,3,61
489,11091,64980,108300,650,1516,195,455,433,433,379,433,3,61
490,11092,64980,108300,650,1516,195,455,433,433,379,433,3,61
491,11093,64980,108300,650,1516,195,455,433,433,379,433,3,61
492,11094,64980,108300,650,1516,195,455,433,433,379,433,3,61
493,11095,64980,108300,650,1516,195,455,433,433,379,433,3,61
494,11096,66240,110400,662,1546,199,464,442,442,386,442,3,61
495,11097,67512,112520,675,1575,203,473,450,450,394,450,3,61
496,11098,68796,114660,688,1605,206,482,459,459,401,459,3,61
497,11099,70092,116820,701,1635,210,491,467,467,409,467,3,61
498,11100,71400,119000,714,1666,214,500,476,476,417,476,3,61
