id,monsterid,skilltypeid,skilllevel
1454,310503,900,1
1455,310504,902,1
1456,311401,1,1
1457,311402,8,1
1458,311403,2,1
1459,313401,903,1
1460,313402,905,1
1461,313403,914,1
1462,313404,912,1
1463,313405,906,1
1464,313406,907,1
1465,219401,2,1
1466,219402,904,1
1467,219403,1,1
1468,219404,900,1
1469,219405,1,1
1470,219406,901,1
1471,219407,2,1
1472,219408,902,1
1473,219409,2,1
1474,219410,904,1
1475,219411,1,1
1476,219412,914,1
1477,219413,2,1
1478,219414,915,1
1479,219415,2,1
1480,219416,906,1
1481,219417,2,1
1482,219418,907,1
1483,219419,3,1
1484,219420,903,1
1485,219421,1,1
1486,219422,910,1
1487,229401,2,1
1488,229402,907,1
1489,229403,1,1
1490,229404,912,1
1491,229405,1,1
1492,229406,909,1
1493,229407,2,1
1494,229408,911,1
1495,229409,1,1
1496,229410,913,1
1497,229411,2,1
1498,229412,908,1
1499,870101,2,1
1500,870102,2,1
1501,870103,2,1
1502,870104,902,1
1503,870104,300028,1
1504,870201,2,1
1505,870202,2,1
1506,870203,1,1
1507,870204,904,1
1508,870204,300033,1
1509,870301,1,1
1510,870302,2,1
1511,870303,2,1
1512,870304,908,1
1513,870304,300030,1
1514,870401,1,1
1515,870402,2,1
1516,870403,2,1
1517,870404,913,1
1518,870404,300029,1
1519,870501,2,1
1520,870502,1,1
1521,870503,1,1
1522,870504,911,1
1523,870504,300031,1
1524,870504,300032,1
1525,880101,2,1
1526,880102,3,1
1527,880103,5,1
1528,880201,2,1
1529,880202,2,1
1530,880203,4,1
1531,880301,2,1
1532,880302,2,1
1533,880303,3,1
1534,314101,2,1
1535,314102,2,1
1536,314103,1,1
1537,314104,1,1
1538,314105,909,1
1539,314106,2,1
1540,314107,2,1
1541,314201,2,1
1542,314202,2,1
1543,314203,1,1
1544,314204,1,1
1545,314205,909,1
1546,314206,2,1
1547,314207,2,1
1548,314301,2,1
1549,314302,2,1
1550,314303,1,1
1551,314304,1,1
1552,314305,909,1
1553,314306,2,1
1554,314307,2,1
1555,314401,2,1
1556,314402,2,1
1557,314403,1,1
1558,314404,1,1
1559,314405,909,1
1560,314406,2,1
1561,314407,2,1
1562,314501,1,1
1563,314502,2,1
1564,314503,2,1
1565,314504,2,1
1566,314505,905,1
1567,314506,2,1
1568,314507,2,1
1569,314601,1,1
1570,314602,2,1
1571,314603,2,1
1572,314604,2,1
1573,314605,905,1
1574,314606,2,1
1575,314607,2,1
1576,314701,1,1
1577,314702,2,1
1578,314703,2,1
1579,314704,2,1
1580,314705,905,1
1581,314706,2,1
1582,314707,2,1
1583,314801,1,1
1584,314802,2,1
1585,314803,2,1
1586,314804,2,1
1587,314805,905,1
1588,314806,2,1
1589,314807,2,1
1590,315101,1,1
1591,315102,2,1
1592,315103,1,1
1593,315104,1,1
1594,315105,919,1
1595,315106,917,1
1596,315107,918,1
1597,315201,1,1
1598,315202,2,1
1599,315203,1,1
1600,315204,1,1
1601,315205,919,1
1602,315206,917,1
1603,315207,918,1
1604,315301,1,1
1605,315302,2,1
1606,315303,1,1
1607,315304,1,1
1608,315305,919,1
1609,315306,917,1
1610,315307,918,1
1611,315401,1,1
1612,315402,2,1
1613,315403,1,1
1614,315404,1,1
1615,315405,919,1
1616,315406,917,1
1617,315407,918,1
1618,316101,2,1
1619,316102,2,1
1620,316103,2,1
1621,316104,905,1
1622,316105,902,1
1623,316106,911,1
1624,316201,2,1
1625,316202,2,1
1626,316203,2,1
1627,316204,905,1
1628,316205,902,1
1629,316206,911,1
1630,316301,2,1
1631,316302,2,1
1632,316303,2,1
1633,316304,905,1
1634,316305,902,1
1635,316306,911,1
1636,316401,2,1
1637,316402,2,1
1638,316403,2,1
1639,316404,905,1
1640,316405,902,1
1641,316406,911,1
1642,317101,2,1
1643,317102,2,1
1644,317103,2,1
1645,317201,2,1
1646,317202,2,1
1647,317203,1,1
1648,317301,2,1
1649,317302,1,1
1650,317303,1,1
1651,317401,2,1
1652,317402,2,1
1653,317403,2,1
1654,318101,2,1
1655,318102,1,1
1656,318103,2,1
1657,318104,2,1
1658,318105,2,1
1659,318106,2,1
1660,318107,2,1
1661,318108,1,1
1662,318109,2,1
1663,318110,2,1
1664,318111,2,1
1665,318112,2,1
1666,318113,2,1
1667,318114,2,1
1668,300015,30,1
