id,kind,objectid,number,bind
978,21034,215500001,3992900,2
979,21035,215500001,4332300,2
980,21036,215500001,4700500,2
981,21037,215500001,5100000,2
982,21038,215500001,5533500,2
983,21039,215500001,3680100,2
984,21040,215500001,3992900,2
985,21041,215500001,4332300,2
986,21042,215500001,4700500,2
987,21043,215500001,5100000,2
988,21044,215500001,5533500,2
989,21045,215500001,6003800,2
990,21046,215500001,6514100,2
991,21047,215500001,7067800,2
992,21048,215500001,7668600,2
993,21049,215500001,8320400,2
994,21050,215500001,5533500,2
995,21051,215500001,6003800,2
996,21052,215500001,6514100,2
997,21053,215500001,7067800,2
998,21054,215500001,7668600,2
999,21055,215500001,8320400,2
1000,21056,215500001,9027600,2
1001,21057,215500001,9794900,2
1002,21058,215500001,10627500,2
1003,21059,215500001,11530800,2
1004,21060,215500001,12510900,2
1005,21061,215500001,8320400,2
1006,21062,215500001,9027600,2
1007,21063,215500001,9794900,2
1008,21064,215500001,10627500,2
1009,21065,215500001,11530800,2
1010,21066,215500001,12510900,2
1011,21067,215500001,13574300,2
1012,21068,215500001,14728100,2
1013,21069,215500001,15980000,2
1014,21070,215500001,17338300,2
1015,21071,215500001,18812100,2
1016,21072,215500001,12510900,2
1017,21073,215500001,13574300,2
1018,21074,215500001,14728100,2
1019,21075,215500001,15980000,2
1020,21076,215500001,17338300,2
1021,21077,215500001,18812100,2
1022,21078,215500001,20411100,2
1023,21079,215500001,22146000,2
1024,21080,215500001,24028400,2
1025,21081,215500001,26070800,2
1026,21082,215500001,28286800,2
1027,21083,215500001,18812100,2
1028,21084,215500001,20411100,2
1029,21085,215500001,22146000,2
1030,21086,215500001,24028400,2
1031,21087,215500001,26070800,2
1032,21088,215500001,28286800,2
1033,21089,215500001,30691200,2
1034,21090,215500001,33300000,2
1035,21091,215500001,36130500,2
1036,21092,215500001,39201600,2
1037,21093,215500001,42533700,2
1038,21094,215500001,28286800,2
1039,21095,215500001,30691200,2
1040,21096,215500001,33300000,2
1041,21097,215500001,36130500,2
1042,21098,215500001,39201600,2
1043,21099,215500001,42533700,2
1044,21100,215500001,46149100,2
1045,21101,215500001,50071800,2
1046,21102,215500001,54327900,2
1047,21103,215500001,58945800,2
1048,21104,215500001,63956200,2
1049,21105,215500001,42533700,2
1050,21106,215500001,46149100,2
1051,21107,215500001,50071800,2
1052,21108,215500001,54327900,2
1053,21109,215500001,58945800,2
1054,21110,215500001,63956200,2
1055,21111,215500001,69392500,2
1056,21112,215500001,75290900,2
1057,21113,215500001,81690600,2
1058,21114,215500001,88634300,2
1059,21115,215500001,96168200,2
1060,21116,215500001,63956200,2
1061,21117,215500001,69392500,2
1062,21118,215500001,75290900,2
1063,21119,215500001,81690600,2
1064,21120,215500001,88634300,2
1065,21121,215500001,96168200,2
1066,21122,215500001,104342500,2
1067,21123,215500001,113211600,2
1068,21124,215500001,122834600,2
1069,21125,215500001,133275500,2
1070,21126,215500001,144603900,2
1071,21127,215500001,96168200,2
1072,21128,215500001,104342500,2
1073,21129,215500001,113211600,2
1074,21130,215500001,122834600,2
1075,21131,215500001,133275500,2
1076,21132,215500001,144603900,2
1077,21133,215500001,156895200,2
1078,21134,215500001,170231300,2
1079,21135,215500001,184701000,2
1080,21136,215500001,200400600,2
1081,21137,215500001,217434700,2
