id,level,nextlevel,health,attack,defence,crit,toughness,hit,dodge,speed,costid,costnumber,costmoney,minprocess,maxprocess,process,effect,scene_effect,idle_effect,name
196,806,807,130487,2126,1066,483,483,258,258,16,183366001,1,3500,75,75,4208,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
197,807,808,131522,2143,1074,487,487,260,260,16,183366001,1,3500,75,75,4250,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
198,808,809,132561,2160,1082,491,491,262,262,16,183366001,1,3500,75,75,4291,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
199,809,810,133604,2177,1090,495,495,264,264,16,183366001,1,3500,75,75,4333,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
200,810,811,134650,2194,1098,499,499,266,266,16,183366001,1,3500,75,75,4374,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
201,811,812,135700,2211,1107,503,503,268,268,16,183366001,1,3500,75,75,4416,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
202,812,813,136754,2228,1116,507,507,270,270,16,183366001,1,3500,75,75,4458,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
203,813,814,137812,2245,1125,511,511,272,272,16,183366001,1,3500,75,75,4499,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
204,814,815,138873,2262,1134,515,515,274,274,16,183366001,1,3500,75,75,4541,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
205,815,816,139938,2279,1143,519,519,276,276,16,183366001,1,3500,75,75,4582,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
206,816,817,141007,2296,1152,523,523,278,278,16,183366001,1,3500,75,75,4624,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
207,817,818,142080,2313,1161,527,527,280,280,16,183366001,1,3500,75,75,4666,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
208,818,819,143156,2330,1170,531,531,282,282,16,183366001,1,3500,75,75,4707,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
209,819,820,144236,2347,1179,535,535,284,284,16,183366001,1,3500,75,75,4749,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
210,820,821,145320,2365,1188,539,539,286,286,16,183366001,1,3500,75,75,4790,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
211,821,822,146408,2383,1197,543,543,288,288,16,183366001,1,3500,75,75,4832,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
212,822,823,147499,2401,1206,547,547,290,290,16,183366001,1,3500,75,75,4874,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
213,823,824,148594,2419,1215,551,551,292,292,16,183366001,1,3500,75,75,4915,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
214,824,825,149693,2437,1224,555,555,294,294,16,183366001,1,3500,75,75,4957,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
215,825,826,150796,2455,1233,559,559,296,296,16,183366001,1,3500,75,75,5280,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
216,826,827,151902,2473,1242,563,563,298,298,16,183366001,1,3500,75,75,5322,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
217,827,828,153012,2491,1251,567,567,300,300,16,183366001,1,3500,75,75,5363,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
218,828,829,154126,2509,1260,571,571,302,302,16,183366001,1,3500,75,75,5405,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
219,829,830,155244,2527,1269,575,575,304,304,16,183366001,1,3500,75,75,5446,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
220,830,901,156365,2545,1278,579,579,306,306,16,183366001,1,3500,75,75,6000,ZUJI_xingzuo_UI,ZUJI_xingzuo,,足踏星辰
221,901,902,157490,2563,1287,583,583,308,308,18,183366001,1,3500,75,75,5400,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
222,902,903,158619,2581,1296,587,587,310,310,18,183366001,1,3500,75,75,5450,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
223,903,904,159752,2599,1305,591,591,312,312,18,183366001,1,3500,75,75,5501,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
224,904,905,160888,2617,1314,595,595,314,314,18,183366001,1,3500,75,75,5551,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
225,905,906,162028,2635,1323,599,599,316,316,18,183366001,1,3500,75,75,5602,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
226,906,907,163172,2654,1332,603,603,318,318,18,183366001,1,3500,75,75,5652,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
227,907,908,164320,2673,1341,607,607,320,320,18,183366001,1,3500,75,75,5702,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
228,908,909,165471,2692,1350,611,611,322,322,18,183366001,1,3500,75,75,5753,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
229,909,910,166626,2711,1359,615,615,324,324,18,183366001,1,3500,75,75,5803,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
230,910,911,167785,2730,1368,619,619,326,326,18,183366001,1,3500,75,75,5854,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
231,911,912,168948,2749,1377,623,623,328,328,18,183366001,1,3500,75,75,5904,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
232,912,913,170114,2768,1386,627,627,330,330,18,183366001,1,3500,75,75,5954,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
233,913,914,171284,2787,1395,631,631,332,332,18,183366001,1,3500,75,75,6005,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
234,914,915,172458,2806,1404,635,635,334,334,18,183366001,1,3500,75,75,6055,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
235,915,916,173636,2825,1414,640,640,336,336,18,183366001,1,3500,75,75,6106,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
236,916,917,174817,2844,1424,645,645,338,338,18,183366001,1,3500,75,75,6156,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
237,917,918,176002,2863,1434,650,650,340,340,18,183366001,1,3500,75,75,6206,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
238,918,919,177191,2882,1444,655,655,342,342,18,183366001,1,3500,75,75,6257,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
239,919,920,178384,2901,1454,660,660,344,344,18,183366001,1,3500,75,75,6307,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
240,920,921,179580,2920,1464,665,665,346,346,18,183366001,1,3500,75,75,6358,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
241,921,922,180780,2939,1474,670,670,348,348,18,183366001,1,3500,75,75,6408,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
242,922,923,181984,2958,1484,675,675,350,350,18,183366001,1,3500,75,75,6458,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
243,923,924,183192,2978,1494,680,680,352,352,18,183366001,1,3500,75,75,6509,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
244,924,925,184403,2998,1504,685,685,354,354,18,183366001,1,3500,75,75,6559,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
245,925,926,185618,3018,1514,690,690,356,356,18,183366001,1,3500,75,75,6610,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
246,926,927,186837,3038,1524,695,695,358,358,18,183366001,1,3500,75,75,6660,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
247,927,928,188060,3058,1534,700,700,360,360,18,183366001,1,3500,75,75,6710,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
248,928,929,189286,3078,1544,705,705,362,362,18,183366001,1,3500,75,75,6761,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
249,929,930,190516,3098,1554,710,710,364,364,18,183366001,1,3500,75,75,6811,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
250,930,1001,191750,3118,1564,715,715,366,366,18,183366001,1,3500,75,75,7500,ZUJI_jian_UI,ZUJI_jian,,我心唯剑
251,1001,1002,192988,3138,1574,720,720,368,368,20,183366001,1,3500,75,75,6800,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
252,1002,1003,194229,3158,1584,725,725,370,370,20,183366001,1,3500,75,75,6860,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
253,1003,1004,195474,3178,1594,730,730,372,372,20,183366001,1,3500,75,75,6920,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
254,1004,1005,196723,3198,1604,735,735,374,374,20,183366001,1,3500,75,75,6980,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
255,1005,1006,197976,3218,1614,740,740,376,376,20,183366001,1,3500,75,75,7040,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
256,1006,1007,199232,3238,1624,745,745,378,378,20,183366001,1,3500,75,75,7100,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
257,1007,1008,200492,3258,1634,750,750,380,380,20,183366001,1,3500,75,75,7160,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
258,1008,1009,201756,3278,1644,755,755,382,382,20,183366001,1,3500,75,75,7220,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
259,1009,1010,203024,3298,1654,760,760,384,384,20,183366001,1,3500,75,75,7280,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
260,1010,1011,204295,3319,1664,765,765,386,386,20,183366001,1,3500,75,75,7340,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
261,1011,1012,205570,3340,1674,770,770,388,388,20,183366001,1,3500,75,75,7400,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
262,1012,1013,206849,3361,1684,775,775,390,390,20,183366001,1,3500,75,75,7460,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
263,1013,1014,208132,3382,1694,780,780,392,392,20,183366001,1,3500,75,75,7520,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
264,1014,1015,209418,3403,1704,785,785,394,394,20,183366001,1,3500,75,75,7580,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
265,1015,1016,210708,3424,1714,790,790,396,396,20,183366001,1,3500,75,75,7640,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
266,1016,1017,212002,3445,1724,795,795,398,398,20,183366001,1,3500,75,75,7700,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
267,1017,1018,213300,3466,1734,800,800,400,400,20,183366001,1,3500,75,75,7760,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
268,1018,1019,214601,3487,1745,805,805,403,403,20,183366001,1,3500,75,75,7820,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
269,1019,1020,215906,3508,1756,810,810,406,406,20,183366001,1,3500,75,75,7880,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
270,1020,1021,217215,3529,1767,815,815,409,409,20,183366001,1,3500,75,75,7940,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
271,1021,1022,218528,3550,1778,820,820,412,412,20,183366001,1,3500,75,75,8000,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
272,1022,1023,219844,3571,1789,825,825,415,415,20,183366001,1,3500,75,75,8060,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
273,1023,1024,221164,3592,1800,830,830,418,418,20,183366001,1,3500,75,75,8120,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
274,1024,1025,222488,3613,1811,835,835,421,421,20,183366001,1,3500,75,75,8180,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
275,1025,1026,223816,3634,1822,840,840,424,424,20,183366001,1,3500,75,75,8240,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
276,1026,1027,225147,3655,1833,845,845,427,427,20,183366001,1,3500,75,75,8300,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
277,1027,1028,226482,3677,1844,850,850,430,430,20,183366001,1,3500,75,75,8360,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
278,1028,1029,227821,3699,1855,855,855,433,433,20,183366001,1,3500,75,75,8420,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
279,1029,1030,229164,3721,1866,860,860,436,436,20,183366001,1,3500,75,75,8480,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
280,1030,-1,230510,3743,1877,865,865,439,439,20,183366001,1,3500,75,75,9000,ZUJI_jinlong_UI,ZUJI_jinlong,,应龙真魂
